# [SkemaScraper]
# teacherid = 5421
# firstweek = 4
# lastweek = 27
# year = 2012
# inputdateformat = %d-%m-%Y
# outputdateformat = %Y-%m-%d
# [ExportIcs]
# outfile = MON_2012S.ics
# inputdateformat = %Y-%m-%d
#

Date: 2012-01-23; StartTime: 2012-01-23 10:20:00; EndTime: 2012-01-23 11:05:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Networking; Teacher: mon; 
Date: 2012-01-23; StartTime: 2012-01-23 11:05:00; EndTime: 2012-01-23 11:50:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Networking; Teacher: mon; 
Date: 2012-01-23; StartTime: 2012-01-23 12:30:00; EndTime: 2012-01-23 13:15:00; Location: b-1.55; Class: 12OIT2bH1; Subject: System Design; Teacher: mon; 
Date: 2012-01-24; StartTime: 2012-01-23 13:15:00; EndTime: 2012-01-23 14:00:00; Location: b-1.55; Class: 12OIT2bH1; Subject: System Design; Teacher: mon; 
Date: 2012-01-24; StartTime: 2012-01-24 10:20:00; EndTime: 2012-01-24 11:05:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Networking; Teacher: mon; 
Date: 2012-01-24; StartTime: 2012-01-24 11:05:00; EndTime: 2012-01-24 11:50:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Networking; Teacher: mon; 
Date: 2012-01-24; StartTime: 2012-01-24 12:30:00; EndTime: 2012-01-24 13:15:00; Location: b-1.55; Class: 12OIT2bH1; Subject: System Design; Teacher: mon; 
Date: 2012-01-30; StartTime: 2012-01-24 13:15:00; EndTime: 2012-01-24 14:00:00; Location: b-1.55; Class: 12OIT2bH1; Subject: System Design; Teacher: mon; 
Date: 2012-01-30; StartTime: 2012-01-30 10:20:00; EndTime: 2012-01-30 11:05:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Networking; Teacher: mon; 
Date: 2012-01-30; StartTime: 2012-01-30 11:05:00; EndTime: 2012-01-30 11:50:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Networking; Teacher: mon; 
Date: 2012-01-30; StartTime: 2012-01-30 12:30:00; EndTime: 2012-01-30 13:15:00; Location: b-1.55; Class: 12OIT2bH1; Subject: System Design; Teacher: mon; 
Date: 2012-01-31; StartTime: 2012-01-30 13:15:00; EndTime: 2012-01-30 14:00:00; Location: b-1.55; Class: 12OIT2bH1; Subject: System Design; Teacher: mon; 
Date: 2012-01-31; StartTime: 2012-01-31 10:20:00; EndTime: 2012-01-31 11:05:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Networking; Teacher: mon; 
Date: 2012-01-31; StartTime: 2012-01-31 11:05:00; EndTime: 2012-01-31 11:50:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Networking; Teacher: mon; 
Date: 2012-01-31; StartTime: 2012-01-31 12:30:00; EndTime: 2012-01-31 13:15:00; Location: b-1.55; Class: 12OIT2bH1; Subject: System Design; Teacher: mon; 
Date: 2012-02-01; StartTime: 2012-01-31 13:15:00; EndTime: 2012-01-31 14:00:00; Location: b-1.55; Class: 12OIT2bH1; Subject: System Design; Teacher: mon; 
Date: 2012-02-01; StartTime: 2012-02-01 10:20:00; EndTime: 2012-02-01 11:05:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Project 1; Teacher: mon; 
Date: 2012-02-03; StartTime: 2012-02-01 11:05:00; EndTime: 2012-02-01 11:50:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Project 1; Teacher: mon; 
Date: 2012-02-03; StartTime: 2012-02-03 08:30:00; EndTime: 2012-02-03 09:15:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Project 1; Teacher: mon; 
Date: 2012-02-06; StartTime: 2012-02-03 09:15:00; EndTime: 2012-02-03 10:00:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Project 1; Teacher: mon; 
Date: 2012-02-06; StartTime: 2012-02-06 10:20:00; EndTime: 2012-02-06 11:05:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Networking; Teacher: mon; 
Date: 2012-02-06; StartTime: 2012-02-06 11:05:00; EndTime: 2012-02-06 11:50:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Networking; Teacher: mon; 
Date: 2012-02-06; StartTime: 2012-02-06 12:30:00; EndTime: 2012-02-06 13:15:00; Location: b-1.55; Class: 12OIT2bH1; Subject: System Design; Teacher: mon; 
Date: 2012-02-07; StartTime: 2012-02-06 13:15:00; EndTime: 2012-02-06 14:00:00; Location: b-1.55; Class: 12OIT2bH1; Subject: System Design; Teacher: mon; 
Date: 2012-02-07; StartTime: 2012-02-07 10:20:00; EndTime: 2012-02-07 11:05:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Networking; Teacher: mon; 
Date: 2012-02-07; StartTime: 2012-02-07 11:05:00; EndTime: 2012-02-07 11:50:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Networking; Teacher: mon; 
Date: 2012-02-07; StartTime: 2012-02-07 12:30:00; EndTime: 2012-02-07 13:15:00; Location: b-1.55; Class: 12OIT2bH1; Subject: System Design; Teacher: mon; 
Date: 2012-02-10; StartTime: 2012-02-07 13:15:00; EndTime: 2012-02-07 14:00:00; Location: b-1.55; Class: 12OIT2bH1; Subject: System Design; Teacher: mon; 
Date: 2012-02-10; StartTime: 2012-02-10 08:30:00; EndTime: 2012-02-10 09:15:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Project 1; Teacher: mon; 
