# [SkemaScraper]
# year = 2011
# teacherid = 5421
# outputdateformat = %Y-%m-%d
# lastweek = 52
# inputdateformat = %d-%m-%Y
# firstweek = 33
#

Date: 2011-08-22; StartTime: 2011-08-22 08:30:00; EndTime: 2011-08-22 09:15:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Adv. networking æ; Teacher: mon; 
Date: 2011-08-22; StartTime: 2011-08-22 09:15:00; EndTime: 2011-08-22 10:00:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Adv. networking æ; Teacher: mon; 
Date: 2011-08-22; StartTime: 2011-08-22 10:20:00; EndTime: 2011-08-22 11:05:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Adv. networking; Teacher: mon; 
Date: 2011-08-23; StartTime: 2011-08-22 11:05:00; EndTime: 2011-08-22 11:50:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Adv. networking; Teacher: mon; 
Date: 2011-08-23; StartTime: 2011-08-23 08:30:00; EndTime: 2011-08-23 09:15:00; Location: b-1.44; Class: 11OIT3bH2; Subject: ITå Security; Teacher: mon; 
Date: 2011-08-23; StartTime: 2011-08-23 09:15:00; EndTime: 2011-08-23 10:00:00; Location: b-1.44; Class: 11OIT3bH2; Subject: ITå Security; Teacher: mon; 
Date: 2011-08-26; StartTime: 2011-08-23 10:20:00; EndTime: 2011-08-23 11:05:00; Location: b-1.44; Class: 11OIT3bH2; Subject: ITå Security; Teacher: mon; 
Date: 2011-08-26; StartTime: 2011-08-26 08:30:00; EndTime: 2011-08-26 09:15:00; Location: b-1.44; Class: 11OIT3bH2; Subject: ITå Security; Teacher: mon; 
Date: 2011-08-26; StartTime: 2011-08-26 09:15:00; EndTime: 2011-08-26 10:00:00; Location: b-1.44; Class: 11OIT3bH2; Subject: ITå Security; Teacher: monø; 
Date: 2011-08-29; StartTime: 2011-08-26 10:20:00; EndTime: 2011-08-26 11:05:00; Location: b-1.44; Class: 11OIT3bH2; Subject: ITå Security; Teacher: monø; 
Date: 2011-08-29; StartTime: 2011-08-29 08:30:00; EndTime: 2011-08-29 09:15:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Adv. networking; Teacher: mon; 
Date: 2011-08-29; StartTime: 2011-08-29 09:15:00; EndTime: 2011-08-29 10:00:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Adv. networking; Teacher: mon; 
Date: 2011-08-29; StartTime: 2011-08-29 10:20:00; EndTime: 2011-08-29 11:05:00; Location: b-1.44; Class: 11OIT3bH2; Subject: IT Security; Teacher: monø; 
Date: 2011-09-01; StartTime: 2011-08-29 11:05:00; EndTime: 2011-08-29 11:50:00; Location: b-1.44; Class: 11OIT3bH2; Subject: IT Security; Teacher: monø; 
