Date: 2012-01-04; StartTime: 2012-01-04 10:20:00; EndTime: 2012-01-04 11:05:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Adv. networking; Teacher: mon; 
Date: 2012-01-04; StartTime: 2012-01-04 11:05:00; EndTime: 2012-01-04 11:50:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Adv. networking; Teacher: mon; 
Date: 2012-01-04; StartTime: 2012-01-04 12:30:00; EndTime: 2012-01-04 13:15:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Project Network; Teacher: mon; 
Date: 2012-01-06; StartTime: 2012-01-04 13:15:00; EndTime: 2012-01-04 14:00:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Project Network; Teacher: mon; 
Date: 2012-01-06; StartTime: 2012-01-06 10:20:00; EndTime: 2012-01-06 11:05:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Project Network; Teacher: mon; 
Date: 2012-01-06; StartTime: 2012-01-06 11:05:00; EndTime: 2012-01-06 11:50:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Project Network; Teacher: mon; 
Date: 2012-01-06; StartTime: 2012-01-06 12:30:00; EndTime: 2012-01-06 13:15:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Project Network; Teacher: mon; 
Date: 2012-01-11; StartTime: 2012-01-06 13:15:00; EndTime: 2012-01-06 14:00:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Project Network; Teacher: mon; 
Date: 2012-01-11; StartTime: 2012-01-11 08:10:00; EndTime: 2012-01-11 08:55:00; Location: ; Class: ; Subject: Akt:; Teacher: mon; 
Date: 2012-01-11; StartTime: 2012-01-11 08:55:00; EndTime: 2012-01-11 09:40:00; Location: ; Class: ; Subject: Akt:; Teacher: mon; 
Date: 2012-01-11; StartTime: 2012-01-11 10:10:00; EndTime: 2012-01-11 10:55:00; Location: ; Class: ; Subject: Akt:; Teacher: mon; 
Date: 2012-01-11; StartTime: 2012-01-11 10:55:00; EndTime: 2012-01-11 11:40:00; Location: ; Class: ; Subject: Akt:; Teacher: mon; 
Date: 2012-01-11; StartTime: 2012-01-11 12:10:00; EndTime: 2012-01-11 12:55:00; Location: ; Class: ; Subject: Akt:; Teacher: mon; 
Date: 2012-01-11; StartTime: 2012-01-11 12:55:00; EndTime: 2012-01-11 13:40:00; Location: ; Class: ; Subject: Akt:; Teacher: mon; 
Date: 2012-01-11; StartTime: 2012-01-11 14:00:00; EndTime: 2012-01-11 14:45:00; Location: ; Class: ; Subject: Akt:; Teacher: mon; 
Date: 2012-01-12; StartTime: 2012-01-11 14:45:00; EndTime: 2012-01-11 15:30:00; Location: ; Class: ; Subject: Akt:; Teacher: mon; 
Date: 2012-01-12; StartTime: 2012-01-12 08:10:00; EndTime: 2012-01-12 08:55:00; Location: ; Class: ; Subject: Akt:; Teacher: mon; 
Date: 2012-01-12; StartTime: 2012-01-12 08:55:00; EndTime: 2012-01-12 09:40:00; Location: ; Class: ; Subject: Akt:; Teacher: mon; 
Date: 2012-01-12; StartTime: 2012-01-12 10:10:00; EndTime: 2012-01-12 10:55:00; Location: ; Class: ; Subject: Akt:; Teacher: mon; 
Date: 2012-01-12; StartTime: 2012-01-12 10:55:00; EndTime: 2012-01-12 11:40:00; Location: ; Class: ; Subject: Akt:; Teacher: mon; 
Date: 2012-01-12; StartTime: 2012-01-12 12:10:00; EndTime: 2012-01-12 12:55:00; Location: ; Class: ; Subject: Akt:; Teacher: mon; 
Date: 2012-01-12; StartTime: 2012-01-12 12:55:00; EndTime: 2012-01-12 13:40:00; Location: ; Class: ; Subject: Akt:; Teacher: mon; 
Date: 2012-01-12; StartTime: 2012-01-12 14:00:00; EndTime: 2012-01-12 14:45:00; Location: ; Class: ; Subject: Akt:; Teacher: mon; 
Date: 2012-01-13; StartTime: 2012-01-12 14:45:00; EndTime: 2012-01-12 15:30:00; Location: ; Class: ; Subject: Akt:; Teacher: mon; 
Date: 2012-01-13; StartTime: 2012-01-13 08:30:00; EndTime: 2012-01-13 09:15:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Project Network; Teacher: mon; 
Date: 2012-01-13; StartTime: 2012-01-13 09:15:00; EndTime: 2012-01-13 10:00:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Project Network; Teacher: mon; 
Date: 2012-01-13; StartTime: 2012-01-13 10:20:00; EndTime: 2012-01-13 11:05:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Project Network; Teacher: mon; 
Date: 2012-01-17; StartTime: 2012-01-13 11:05:00; EndTime: 2012-01-13 11:50:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Project Network; Teacher: mon; 
Date: 2012-01-17; StartTime: 2012-01-17 12:30:00; EndTime: 2012-01-17 13:15:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Project Network; Teacher: mon; 
Date: 2012-01-17; StartTime: 2012-01-17 13:15:00; EndTime: 2012-01-17 14:00:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Project Network; Teacher: mon; 
Date: 2012-01-18; StartTime: 2012-01-17 14:15:00; EndTime: 2012-01-17 15:00:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Project Network; Teacher: mon; 
Date: 2012-01-18; StartTime: 2012-01-18 12:30:00; EndTime: 2012-01-18 13:15:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Project Network; Teacher: mon; 
