## commandLine options:
## {'ConfigFileName': 'SkemaMON.cfg'}
## Config used
# [Filter]
# outputdateformat = %Y-%m-%d
# class = 11OIT1bH2
# inputdateformat = %Y-%m-%d
# subject = Networking
# [SkemaScraper2012]
# year = 2012
# teacherid = 5421
# outputdateformat = %Y-%m-%d
# lastweek = 4
# inputdateformat = %d-%m-%Y
# firstweek = 1
# [ExportTextDefault]
# outputdateformat = %Y-%m-%d
# template = Date: $Date; StartTime: $StartTime; EndTime: $EndTime; Location: $Location; Class: $Class; Subject: $Subject;
# [SkemaScraper]
# year = 2011
# teacherid = 5421
# outputdateformat = %Y-%m-%d
# lastweek = 52
# inputdateformat = %d-%m-%Y
# firstweek = 33
# [ExportText]
# outputdateformat = %Y-%m-%d
# inputdateformat = %Y-%m-%d
# template = $EventCount $StartTime ($Multiplicity) $Class $Subject
#

Date: 2011-08-22; StartTime: 2011-08-22 08:30:00; EndTime: 2011-08-22 09:15:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Adv. networking; 
Date: 2011-08-22; StartTime: 2011-08-22 09:15:00; EndTime: 2011-08-22 10:00:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Adv. networking; 
Date: 2011-08-22; StartTime: 2011-08-22 10:20:00; EndTime: 2011-08-22 11:05:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Adv. networking; 
Date: 2011-08-23; StartTime: 2011-08-22 11:05:00; EndTime: 2011-08-22 11:50:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Adv. networking; 
Date: 2011-08-23; StartTime: 2011-08-23 08:30:00; EndTime: 2011-08-23 09:15:00; Location: b-1.44; Class: 11OIT3bH2; Subject: IT Security; 
Date: 2011-08-23; StartTime: 2011-08-23 09:15:00; EndTime: 2011-08-23 10:00:00; Location: b-1.44; Class: 11OIT3bH2; Subject: IT Security; 
Date: 2011-08-26; StartTime: 2011-08-23 10:20:00; EndTime: 2011-08-23 11:05:00; Location: b-1.44; Class: 11OIT3bH2; Subject: IT Security; 
Date: 2011-08-26; StartTime: 2011-08-26 08:30:00; EndTime: 2011-08-26 09:15:00; Location: b-1.44; Class: 11OIT3bH2; Subject: IT Security; 
Date: 2011-08-26; StartTime: 2011-08-26 09:15:00; EndTime: 2011-08-26 10:00:00; Location: b-1.44; Class: 11OIT3bH2; Subject: IT Security; 
Date: 2011-08-29; StartTime: 2011-08-26 10:20:00; EndTime: 2011-08-26 11:05:00; Location: b-1.44; Class: 11OIT3bH2; Subject: IT Security; 
Date: 2011-08-29; StartTime: 2011-08-29 08:30:00; EndTime: 2011-08-29 09:15:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Adv. networking; 
Date: 2011-08-29; StartTime: 2011-08-29 09:15:00; EndTime: 2011-08-29 10:00:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Adv. networking; 
Date: 2011-08-29; StartTime: 2011-08-29 10:20:00; EndTime: 2011-08-29 11:05:00; Location: b-1.44; Class: 11OIT3bH2; Subject: IT Security; 
Date: 2011-09-01; StartTime: 2011-08-29 11:05:00; EndTime: 2011-08-29 11:50:00; Location: b-1.44; Class: 11OIT3bH2; Subject: IT Security; 
Date: 2011-09-01; StartTime: 2011-09-01 12:15:00; EndTime: 2011-09-01 13:00:00; Location: A-315; Class: 11OPI1aH2; Subject: Intro; 
Date: 2011-09-01; StartTime: 2011-09-01 13:05:00; EndTime: 2011-09-01 13:50:00; Location: A-315; Class: 11OPI1aH2; Subject: Intro; 
Date: 2011-09-02; StartTime: 2011-09-01 14:00:00; EndTime: 2011-09-01 14:45:00; Location: A-315; Class: 11OPI1aH2; Subject: Intro; 
Date: 2011-09-02; StartTime: 2011-09-02 08:30:00; EndTime: 2011-09-02 09:15:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Adv. networking; 
Date: 2011-09-02; StartTime: 2011-09-02 09:15:00; EndTime: 2011-09-02 10:00:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Adv. networking; 
Date: 2011-09-02; StartTime: 2011-09-02 10:20:00; EndTime: 2011-09-02 11:05:00; Location: b-1.44; Class: 11OIT3bH2; Subject: IT Security; 
Date: 2011-09-06; StartTime: 2011-09-02 11:05:00; EndTime: 2011-09-02 11:50:00; Location: b-1.44; Class: 11OIT3bH2; Subject: IT Security; 
Date: 2011-09-06; StartTime: 2011-09-06 08:30:00; EndTime: 2011-09-06 09:15:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Datacom.; 
Date: 2011-09-12; StartTime: 2011-09-06 09:15:00; EndTime: 2011-09-06 10:00:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Datacom.; 
Date: 2011-09-12; StartTime: 2011-09-12 08:30:00; EndTime: 2011-09-12 09:15:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Adv. networking; 
Date: 2011-09-12; StartTime: 2011-09-12 09:15:00; EndTime: 2011-09-12 10:00:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Adv. networking; 
Date: 2011-09-12; StartTime: 2011-09-12 10:20:00; EndTime: 2011-09-12 11:05:00; Location: b-1.44; Class: 11OIT3bH2; Subject: IT Security; 
Date: 2011-09-12; StartTime: 2011-09-12 11:05:00; EndTime: 2011-09-12 11:50:00; Location: b-1.44; Class: 11OIT3bH2; Subject: IT Security; 
Date: 2011-09-12; StartTime: 2011-09-12 12:30:00; EndTime: 2011-09-12 13:15:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Datacom.; 
Date: 2011-09-14; StartTime: 2011-09-12 13:15:00; EndTime: 2011-09-12 14:00:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Datacom.; 
Date: 2011-09-14; StartTime: 2011-09-14 08:30:00; EndTime: 2011-09-14 09:15:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Adv. networking; 
Date: 2011-09-14; StartTime: 2011-09-14 09:15:00; EndTime: 2011-09-14 10:00:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Adv. networking; 
Date: 2011-09-14; StartTime: 2011-09-14 10:20:00; EndTime: 2011-09-14 11:05:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Datacom.; 
Date: 2011-09-14; StartTime: 2011-09-14 11:05:00; EndTime: 2011-09-14 11:50:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Datacom.; 
Date: 2011-09-14; StartTime: 2011-09-14 12:30:00; EndTime: 2011-09-14 13:15:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Datacom.; 
Date: 2011-09-15; StartTime: 2011-09-14 13:15:00; EndTime: 2011-09-14 14:00:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Datacom.; 
Date: 2011-09-15; StartTime: 2011-09-15 12:30:00; EndTime: 2011-09-15 13:15:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Datacom.; 
Date: 2011-09-16; StartTime: 2011-09-15 13:15:00; EndTime: 2011-09-15 14:00:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Datacom.; 
Date: 2011-09-16; StartTime: 2011-09-16 08:30:00; EndTime: 2011-09-16 09:15:00; Location: b-1.44; Class: 11OIT3bH2; Subject: IT Security; 
